ID,Category,Requirement,Bundle reference,Current repository evidence,Verdict,Severity,Required remediation
A001,Authority & migration,Preserve the 2026-08-09 source bundle as immutable history.,README_FIRST.md:34-36; SOURCE_OF_TRUTH_MIGRATION_PLAN.md,Historical bundle remains present under docs/source-of-truth/final-2026-08-09/.,PROVEN,INFO,Retain it read-only and add an integrity check that no active task edits it.
A002,Authority & migration,Install a separate V3 active source bundle rather than rewriting history.,README_FIRST.md:35-36,V3 files and FINAL_MANIFEST_V3.json are installed under docs/source-of-truth/v3-2026-08-11/.,PROVEN,INFO,None beyond keeping the active pointer explicit.
A003,Authority & migration,Preserve the V3 bundle file inventory and hashes.,README_FIRST.md:49-66; FINAL_MANIFEST_V3.json,The copied V3 document hashes match the supplied bundle manifest.,PROVEN,INFO,Continue deterministic hash validation.
A004,Authority & migration,Separate normative product authority from current factual authority.,README_FIRST.md; SOURCE_OF_TRUTH_MIGRATION_PLAN.md,SOURCE_PRECEDENCE.md and docs/CONTEXT_INDEX.yaml contain normative/current-fact classes.,PROVEN,INFO,Add runtime tests for stale-current-fact transitions and role routing.
A005,Authority & migration,Reject duplicate logical documents and ambiguous globs.,SOURCE_OF_TRUTH_MIGRATION_PLAN.md; README_FIRST.md:91-106,source_of_truth_integrity.py checks logical IDs and manifest integrity.,PROVEN,INFO,Keep the check candidate-independent and run it before every controller start.
A006,Authority & migration,Run the V3 migration on an isolated branch and draft PR.,README_FIRST.md:47; CODEX_MASTER_MIGRATION_PROMPT.md Phase F,The migration landed directly on main; no codex/traincapsule-v3 branch or migration PR was found.,CONTRADICTS_BUNDLE,CRITICAL,"Create a safety tag/ref now, stop direct migration on main, and use a hardening branch plus automated PR/merge queue going forward."
A007,Authority & migration,Do not let the current factory autonomously rewrite its governing rules.,README_FIRST.md:47,Machine-authored owner directives were added above the copied V3 authority and source integrity now enforces those deviations.,CONTRADICTS_BUNDLE,CRITICAL,Create a new V3.1-ZH source bundle explicitly approved as owner policy; do not shadow the original bundle with higher-precedence runtime files.
A008,Authority & migration,Keep the active authority internally non-contradictory.,SOURCE_OF_TRUTH_MIGRATION_PLAN.md,The copied V3 docs still mandate human approval/PR release while higher-precedence directives prohibit both.,DEFECT,CRITICAL,"Rewrite every affected active document coherently as V3.1-ZH, regenerate the manifest, update context routing, and archive V3 unchanged."
A009,Authority & migration,Route every active governing directive into role context.,SOURCE_OF_TRUTH_MIGRATION_PLAN.md:208-232,docs/CONTEXT_INDEX.yaml routes the original V3 human-authority sections but does not route owner_directives.yaml into the same authority groups.,DEFECT,HIGH,Make the active source bundle itself authoritative; remove hidden override dependence. Ensure context manifests include the active policy digest.
A010,Authority & migration,Use a canonical active-source pointer and reject mixed authority generations.,SOURCE_OF_TRUTH_MIGRATION_PLAN.md,"V3 source files, owner directives, and zero-human override span different locations and authority classes.",PARTIAL,HIGH,Add active_generation metadata and fail closed when active contexts mix V3 and V3.1-ZH normative generations.
